Query,Intent
"I paid but changed my mind, can I get a refund?",Refund
Refund not received yet,Refund
How many days does a refund take?,Refund
Is refund available after course completion?,Refund
"I was charged twice, I need a refund",Refund
Refund process is taking too long,Refund
Can I cancel my enrollment and get a refund?,Refund
Who are the instructors?,Instructor
Are instructors certified?,Instructor
Can I contact my instructor?,Instructor
How experienced are the teachers?,Instructor
Is there live support from instructors?,Instructor
Do instructors respond to queries?,Instructor
Are the courses taught by industry experts?,Instructor
Can I have 1-on-1 sessions with instructors?,Instructor
How do I message my instructor?,Instructor
Are instructors from top companies?,Instructor
What is the class schedule?,Schedule
Are classes live or recorded?,Schedule
Can I study at my own pace?,Schedule
What time are the live sessions?,Schedule
How many hours per week do I need?,Schedule
Can I access classes on weekends?,Schedule
Is this a self-paced course?,Schedule
How long will I have access to the course?,Schedule
Are there any deadlines for assignments?,Schedule
Can I watch lectures at night?,Schedule
Will I miss out if I miss a live session?,Schedule
How do I create an account?,Account
How do I change my email address?,Account
Can I have multiple accounts?,Account
How do I delete my account?,Account
I cannot log into my account,Account
How do I update my profile?,Account
How do I change my password?,Account
How do I verify my email?,Account
Can I use Google to sign in?,Account
Are there any discounts?,Discount
Do you have student discounts?,Discount
Is there a promo code available?,Discount
Can I get a group discount?,Discount
Are there early bird offers?,Discount
Do you have seasonal sales?,Discount
Is there a referral discount?,Discount
Can I get a coupon code?,Discount
Are scholarships available?,Discount
How do I apply a discount code?,Discount
